ques_content,ans_content
我在四个月前右脚脚趾被电动三轮车轧了一下，拍片检查骨头没事，但老是感觉不适，脚趾和膝关节疼，后来做了脚部核磁和肌电图，二脚趾软组织稍肿，肌电图问题不大，后来逐渐好转，但是三个月过去后，在坐车时，左脚又被车轻微碰了一下，然后左脚脚趾开始酸痛，脚后跟酸痛，后来脚踝骨一直到脚趾疼，再后来两只脚都疼，腰部胯关节疼，大腿发麻，膝关节疼，背部和颈部疼，还有肿胀，做了腰部和颈椎核磁，没啥问题，不知这是啥病曾经治疗情况和效果：吃过维生素B1和B12，甲钴铵，吃过活血的药，喷过药，后来又吃过追风经络活血胶囊等西药，现在又吃着治中风的中药和美诺芬，效果都不明显,病例分析:左脚脚趾酸痛
我在四个月前右脚脚趾被电动三轮车轧了一下，拍片检查骨头没事，但老是感觉不适，脚趾和膝关节疼，后来做了脚部核磁和肌电图，二脚趾软组织稍肿，肌电图问题不大，后来逐渐好转，但是三个月过去后，在坐车时，左脚又被车轻微碰了一下，然后左脚脚趾开始酸痛，脚后跟酸痛，后来脚踝骨一直到脚趾疼，再后来两只脚都疼，腰部胯关节疼，大腿发麻，膝关节疼，背部和颈部疼，还有肿胀，做了腰部和颈椎核磁，没啥问题，不知这是啥病曾经治疗情况和效果：吃过维生素B1和B12，甲钴铵，吃过活血的药，喷过药，后来又吃过追风经络活血胶囊等西药，现在又吃着治中风的中药和美诺芬，效果都不明显,您好，左脚被碰疼痛，进而引起右脚的不适，接着又引起下肢关节疼痛，一般是腰椎有问题，但是您目前腰椎检查正常，就要考虑是否有风湿方面的疾患。风湿和类风湿会引起大小关节的疼痛、肿胀，有可能您之前的外伤是一个诱因，所以建议您做相关免疫系统的检查，明确诊断，尽早治疗，虽然风湿疾患不能完全治愈，但是可以通过治疗有效缓解。祝您健康！
无晨勃是肾阴虚还是肾阳虚？,指导意见：您好；表现多为因阴茎不能勃起、或勃起不坚，不能自行插入阴道，或在插入过程中萎软，使性交不能进行。造成ED的原因很多，如：精神因素；任何可能导致阴茎海绵体动脉血流减少的疾病；手术、外伤引起阴茎有关血管和神经损伤，导致勃起功能障碍；内分泌疾患、慢性病和长期服用某些药物；前列腺炎、前列腺增生反复发作久治不愈等；建议您到医院通过先进的诊断技术来确诊，针对性治疗是完全可以治愈的。
请问：气血虚，心悸，吃什么好？,你好！从描述来是心脾两虚，肾阳虚的情况。所以治疗健脾养心，温补肾阳来治疗。炙甘草汤，益气滋阴，通阳复脉，还是可以使用的，其他中药可以适当用归脾汤和肾气汤适当加减来治疗，中成药可以用归脾丸和金匮肾气丸一起治疗，食疗可以用杜仲，巴戟天，当归，黄芪，陈皮，熟地等煲汤服用，注意少吃辛辣油腻食物，适当多锻炼增强抵抗力。
请问：气血虚，心悸，吃什么好？,你好，心悸的气血虚证可以服用归脾汤加减治疗较好。建议到中医科就诊。
请问：气血虚，心悸，吃什么好？,心悸指患者自觉心中悸动，甚至不能自主的一类症状。发生时，患者自觉心跳快而强，并伴有心前区不适感。属祖国医学“惊悸”和“怔仲”的范畴。本病症可见于多种疾病过程中，多与失眠、健忘、眩晕、耳鸣等并存，凡各种原因引起心脏搏动频率、节律发生异常，均可导致心悸。注意调节情志，防止喜怒等七情过极。适当注意休息，少房事，少进食含动物脂肪多的饮食，少进咸、辣和酒、烟、浓茶、咖啡等。适当参加体育锻炼，如散步、太极拳、体操、气功等，注意预防感冒等。一定要控制情绪，少生气。心悸患者应保持精神乐观，情绪
请问：气血虚，心悸，吃什么好？,气血两虚的病人一般多伴有乏力心慌、少气懒言、面色萎黄等症状，治疗中注意用补气药的同时要兼顾补血，如服用中成药补中益气丸时，最好与复方阿胶浆搭配调理食疗上可将龙眼肉、山药、白扁豆、大枣与粳米一同煮粥喝，常吃些动物肝脏等。
请问：气血虚，心悸，吃什么好？,指导意见：气血不足的情况多考虑是由于平时摄入的营养物质不在导致的情况的，这个情况就建议在医生的指导下服用黄芪精口服液和补中益气丸来做调节治疗.平时注意适当的多吃一些蛋奶肉类食物为宜，避免熬夜，避免劳累，避免吃过多的膨化食品和油炸食品为宜
请问：气血虚，心悸，吃什么好？,指导意见：心悸是心脏强有力的、很快的、不规则的搏动。强烈运动之后心脏有几分钟的心悸是正常的，不必顾虑。吸烟、饮咖啡或饮茶太多，心脏受咖啡因或尼古丁的刺激，精神紧张，都会发生心悸的现象
请问：气血虚，心悸，吃什么好？,指导意见：气虚，一般表现在呼吸非常急促，尤其是稍微有大点的动作或者过久的运动之后，喘气不匀，四肢乏力等等。最好及时找中医进行调理。
口苦，口干，有口气，舌苔厚腻，舌裂曾经治疗情况和效果：看过三次，喝过汤药，中成药，也看过西医，都没见效。什么原因，如何治疗？谢谢,病例分析:可以给以中医药治疗。
口苦，口干，有口气，舌苔厚腻，舌裂曾经治疗情况和效果：看过三次，喝过汤药，中成药，也看过西医，都没见效。什么原因，如何治疗？谢谢,你这个情况是痰湿的症状，建议你要从饮食运动上面调整建议平时饮食清淡，多做运动，晚上多泡泡热水脚
