ques_content,ans_content
5岁小孩肺炎，在医院治好了，但还是咳，痰？5岁小孩肺炎，在医院治好了，但还是咳，痰多，吃了7天咳嗽药还是咳，痰多，该怎么办。,你好，孩子咳痰是呼吸道感染没有彻底治愈气管分泌物刺激气管引发咳嗽咳痰治疗主要是在医生的指导下的应用化痰止咳清肺类药物，化验如果白细胞不高可以不用抗菌素，同时可以用梨加冰糖煮水喝，能够起到润肺止咳的作用
胎儿：双顶径：89MM股骨径：75MM头围：298MM腹围：294MM胎心：好，145次/分，胎动可见。可见颅骨光环，脊柱排列整齐，连续，胸腹壁未见明显连续中断。胎位ROPS/Ｄ：１，４３胎盘：位于子宫前壁，厚度约３７ＭＭ，成熟度II+级，胎盘下缘距宫颈内口大于70MM羊水分布：（右上象限）23MM+（右下象限）42MM+（左下象限）19MM+（左上象限）34MM，透声好。37周整请问我的胎盘入盆了吗？能不能看出什么时候生？胎儿大吗？好生吗？胎盘具体什么时候熟到3级？,指导意见：你好，你所说的情况一般来说不能看出什么时候生
我家女孩7岁了有时脸上长出现小白斑块曾经治疗情况和效果：没有治过想问问专家到底是什么病,女孩7岁了有时脸上长出现小白斑块应是白色糠疹可能.为多见于儿童颜面的表浅性干燥鳞屑性减色斑，炎症轻微。白色糠疹在学龄前以及少年期是一种相当常见的现象，白色糠疹一般可以自行消退，因而不需要进行特殊的治疗。平时注意保持面部清洁，避免使用碱性太强的肥皂洗浴;常保持皮肤的滋润，可使用外用药局部涂擦，如5%硫磺软膏.还可在医生指导下服用B族维生素，以防止皮肤干燥。如你怕是蛔虫斑.结合驱虫也行.
个月10天宝宝今天12:13分突然窒息抽搐开始孩子一直躺着玩大概玩了2个小时.可能有点玩够了要哭刚张着大嘴就抱了起来孩子没哭出声就有偶点上不来气了然后家人就给她拍哭出一声就全身抽搐手脚撰拳脸色发青眼神很不好有点上番这不是第一次了以前有过但在40秒内都能恢复而且眼神正常（当地医生说小孩都有这样的属于正常）请教这是什么原因以下有心脏彩超.结果参数:主动脉根部内径16mm；左心房内径16mm；右心室内径6mm；室间隔厚度6-9mm；左心室舒末内径23mm；左心室后壁厚度6-8mm；肺动脉内径11mm；肺动脉瓣口流速1.3m/s；主动脉瓣口流速1.7m/s；二尖瓣口流速1.9m/s；三尖瓣口流速1.0m/s左心功能测定:EF:60%FS:31%SV:15ml超声所见:左心房稍大余房室腔内径在正常范围.房室间隔未见连续中断.左室壁增厚室间隔中段最厚处约9mm左室后壁约8mm心肌呈颗粒样回声增粗内层心肌回声增强室壁运动尚协调.各瓣膜形态结构未见异常改变大动脉位置关系内径正常.主动脉弓降部未见异常.CDFI:于二尖瓣短轴切面探及源于前外侧交界和后内侧交界处两股少量反流信号.收缩期探及少量三尖瓣反流信号.超声诊断:左室壁增厚（病因请结合临床）---建议定期复查左房稍大二尖瓣少量反流（前外侧和后内侧交界处裂隙不除外）三尖瓣少量反流CT结果宝宝脑发育不良外周性脑积水现在正在打单唾.贫血正在服用小儿生血糖浆维生素AD胶丸葡萄糖酸钙请求分析病因和急救方法注意事项（）,你好，不排除为脑炎的症状.冬春季节应勤换衣，被经常开窗通风在“流脑流行期不要带孩子去公共场所玩耍更不要带孩子到发病的小孩家去串门外出要带口罩这些都是切实可行的措施。
个月10天宝宝今天12:13分突然窒息抽搐开始孩子一直躺着玩大概玩了2个小时.可能有点玩够了要哭刚张着大嘴就抱了起来孩子没哭出声就有偶点上不来气了然后家人就给她拍哭出一声就全身抽搐手脚撰拳脸色发青眼神很不好有点上番这不是第一次了以前有过但在40秒内都能恢复而且眼神正常（当地医生说小孩都有这样的属于正常）请教这是什么原因以下有心脏彩超.结果参数:主动脉根部内径16mm；左心房内径16mm；右心室内径6mm；室间隔厚度6-9mm；左心室舒末内径23mm；左心室后壁厚度6-8mm；肺动脉内径11mm；肺动脉瓣口流速1.3m/s；主动脉瓣口流速1.7m/s；二尖瓣口流速1.9m/s；三尖瓣口流速1.0m/s左心功能测定:EF:60%FS:31%SV:15ml超声所见:左心房稍大余房室腔内径在正常范围.房室间隔未见连续中断.左室壁增厚室间隔中段最厚处约9mm左室后壁约8mm心肌呈颗粒样回声增粗内层心肌回声增强室壁运动尚协调.各瓣膜形态结构未见异常改变大动脉位置关系内径正常.主动脉弓降部未见异常.CDFI:于二尖瓣短轴切面探及源于前外侧交界和后内侧交界处两股少量反流信号.收缩期探及少量三尖瓣反流信号.超声诊断:左室壁增厚（病因请结合临床）---建议定期复查左房稍大二尖瓣少量反流（前外侧和后内侧交界处裂隙不除外）三尖瓣少量反流CT结果宝宝脑发育不良外周性脑积水现在正在打单唾.贫血正在服用小儿生血糖浆维生素AD胶丸葡萄糖酸钙请求分析病因和急救方法注意事项（）,是脑积水引起的症状尽快治疗.脑积水治疗非手术治疗适用于早期或病情较轻发展缓慢者其方法：（1）应用利尿剂或脱水剂如乙酰唑胺双氢克尿塞速尿甘露醇等.（2）经前囱或腰椎反复穿刺放液.手术疗法手术治疗对进行性脑积水头颅明显增大且大脑皮质厚度超过1cm者可采取手术治疗.饮食应易开脑窍通经络健脾益肾填精益脑强身易消化的食物为主.
个月10天宝宝今天12:13分突然窒息抽搐开始孩子一直躺着玩大概玩了2个小时.可能有点玩够了要哭刚张着大嘴就抱了起来孩子没哭出声就有偶点上不来气了然后家人就给她拍哭出一声就全身抽搐手脚撰拳脸色发青眼神很不好有点上番这不是第一次了以前有过但在40秒内都能恢复而且眼神正常（当地医生说小孩都有这样的属于正常）请教这是什么原因以下有心脏彩超.结果参数:主动脉根部内径16mm；左心房内径16mm；右心室内径6mm；室间隔厚度6-9mm；左心室舒末内径23mm；左心室后壁厚度6-8mm；肺动脉内径11mm；肺动脉瓣口流速1.3m/s；主动脉瓣口流速1.7m/s；二尖瓣口流速1.9m/s；三尖瓣口流速1.0m/s左心功能测定:EF:60%FS:31%SV:15ml超声所见:左心房稍大余房室腔内径在正常范围.房室间隔未见连续中断.左室壁增厚室间隔中段最厚处约9mm左室后壁约8mm心肌呈颗粒样回声增粗内层心肌回声增强室壁运动尚协调.各瓣膜形态结构未见异常改变大动脉位置关系内径正常.主动脉弓降部未见异常.CDFI:于二尖瓣短轴切面探及源于前外侧交界和后内侧交界处两股少量反流信号.收缩期探及少量三尖瓣反流信号.超声诊断:左室壁增厚（病因请结合临床）---建议定期复查左房稍大二尖瓣少量反流（前外侧和后内侧交界处裂隙不除外）三尖瓣少量反流CT结果宝宝脑发育不良外周性脑积水现在正在打单唾.贫血正在服用小儿生血糖浆维生素AD胶丸葡萄糖酸钙请求分析病因和急救方法注意事项（）,根据您的叙述来看您孩子的这种抽搐现象是癫痫引起的.建议您带孩子到相关科室就诊遵医嘱治疗.祝您的孩子健康可爱!
个月10天宝宝今天12:13分突然窒息抽搐开始孩子一直躺着玩大概玩了2个小时.可能有点玩够了要哭刚张着大嘴就抱了起来孩子没哭出声就有偶点上不来气了然后家人就给她拍哭出一声就全身抽搐手脚撰拳脸色发青眼神很不好有点上番这不是第一次了以前有过但在40秒内都能恢复而且眼神正常（当地医生说小孩都有这样的属于正常）请教这是什么原因以下有心脏彩超.结果参数:主动脉根部内径16mm；左心房内径16mm；右心室内径6mm；室间隔厚度6-9mm；左心室舒末内径23mm；左心室后壁厚度6-8mm；肺动脉内径11mm；肺动脉瓣口流速1.3m/s；主动脉瓣口流速1.7m/s；二尖瓣口流速1.9m/s；三尖瓣口流速1.0m/s左心功能测定:EF:60%FS:31%SV:15ml超声所见:左心房稍大余房室腔内径在正常范围.房室间隔未见连续中断.左室壁增厚室间隔中段最厚处约9mm左室后壁约8mm心肌呈颗粒样回声增粗内层心肌回声增强室壁运动尚协调.各瓣膜形态结构未见异常改变大动脉位置关系内径正常.主动脉弓降部未见异常.CDFI:于二尖瓣短轴切面探及源于前外侧交界和后内侧交界处两股少量反流信号.收缩期探及少量三尖瓣反流信号.超声诊断:左室壁增厚（病因请结合临床）---建议定期复查左房稍大二尖瓣少量反流（前外侧和后内侧交界处裂隙不除外）三尖瓣少量反流CT结果宝宝脑发育不良外周性脑积水现在正在打单唾.贫血正在服用小儿生血糖浆维生素AD胶丸葡萄糖酸钙请求分析病因和急救方法注意事项（）,您好根据您的叙述来看您孩子的这种抽搐现象是癫痫引起的.此为神经系统的病症对此方面的诊断经验我不是非常擅长建议您带孩子到相关科室就诊遵医嘱治疗.祝您的孩子健康可爱!
孩子1岁3个月了，有o型腿的症状，睡觉时有时爱发癔症，经常出现盗汗?虚汗的症状，查微量元素缺铁?锌?钙想知道给孩子吃点什么药补一补好，另外我想知道，钙铁锌是不是不能同补，三种应该分开补，效果才好？？？安琪纽特这个牌子我的孩子可以吃么？,孩子出汗较多，可以带孩子去医院查下微量元素看看是否有缺钙的表现，如果是有缺钙要给孩子及时补钙，，现在可以考虑给孩子食补，喝些猪肝汤，猪血汤，红枣水，蛋黄等食物
孕38周双顶径9.7cm股骨长7.3cm。正常吗,指导意见：正常B超一般有2毫米的误差，你可以自己对照一下，这些数值就是告诉你宝宝的发育大小。孕38周:双顶径的平均值为9，08士0，59‘腹围的平均值为:30，63士2，83‘股骨长的平均值为7，20士0，43。
小孩烫伤用美宝湿润烫伤膏好吗，还有伤口是包扎好还是不包好？曾经治疗情况和效果：烫伤深二度孩烫伤用美宝湿润烫伤膏好吗，还有伤口是包扎好还是不包好？,你好，因为烫伤后皮肤粘膜很容易破损，孩子不易配合，如果擦伤容易加重病变程度，建议包扎较好千万不要揉搓、挤压烫伤的皮肤，尽快包扎治疗，以免感染。合理膳食，不要过于担心，保持积极的心态。祝健康
