ques_content,ans_content
我有手淫三年，最近很女友做爱，时间长，还不射精。是什么原因,你好你的情况多考虑手淫过度导致的肾虚，神经衰弱的症状，戒除手淫，服用六味地黄丸和安神补脑液进行治疗，多休息加强营养的
各位大夫你们好，我妈的腿关节痛，做的核磁共振，吃了这两种药一个多月了还没好，问一下这症状吃这种药行吗,你好，关节痛首先应该确诊是啥病，然后才能对症治疗，比如类风湿，风湿，结核。或者关节炎，多注意休息，避免劳累，饮食清淡，注意多休息你好，保持一个健康的生活习惯和饮食习惯，多吃水果蔬菜，避免辛辣刺激食物，不要饮酒，避免操劳。希望你能满意
前降支近段钙化斑块，管腔中重度狭窄？刚做心脏64排检查，前降支近段管壁见高度钙化影，官腔轻度狭窄。对角支、第二对角支、回旋支、第二顿缘支、右冠及其分支血管左试后支、后降支行走自然，管壁光滑，管腔不窄。影像诊断为:前降支近段混合斑块形成，管腔轻度狭窄。请问这个是什么意思,"指导意见：你的情况考虑是供血不足或者神经衰弱引起的,建议服用复方丹参滴丸治疗，注意饮食易消化避免辛辣刺激。"
脖子扭到了。有点痛曾经治疗情况和效果：没有检查过，这是第一次有什么法子可以冶,你好，脖子扭到了有点痛是颈部软组织扭伤引起的。建议到医院外科就诊照个颈椎片排除颈椎损伤，如果排除了就可以做理疗、外抹点红花油帮助恢复，过几天慢慢就好了。
脖子扭到了。有点痛曾经治疗情况和效果：没有检查过，这是第一次有什么法子可以冶,你好，根据您的这种情况可以用热毛巾局部湿敷一下，一般情况下可以慢慢的恢复，也可以吃一些活血化瘀的药物。或者弄点膏药贴上。如果症状没有明显好转的话到医院查一下颈椎ct，希望我的回复你能满意。
天天头晕没精神浑身没劲怎么办啊看看是怎么引起的吃点什么药以后怎么预防,你好，根据你的你的描述，从中医的角度来讲，你的情况属于气虚的表现，气虚机体功能状态减退就会出现浑身没劲，清窍失养就会出现头晕表现。建议到规范化医疗机构寻求中医调理治疗，通过对证服用具有益气作用的汤药改善身体状况，同时还要注意个人调护，节制饮食，规律作息等，祝健康。
天天头晕没精神浑身没劲怎么办啊看看是怎么引起的吃点什么药以后怎么预防,从中医理论来讲，主要是脾虚造成的，脾虚出现气血亏虚的病变，出现浑身没劲的症状。治疗以健脾为主，平时多吃点山药，有很好的健脾益气的作用，平时多活动活动。中药可以用补中益气汤来调理。
天天头晕没精神浑身没劲怎么办啊看看是怎么引起的吃点什么药以后怎么预防,你好，你的情况可能是贫血、低血压，营养不良等。贫血常见的症状有头晕乏力、心慌气短、食欲不振、皮肤粘膜苍白、指甲扁平等。建议在医师的详细检查后，在用药治疗。建议去医院做检查，如血常规、血糖、微量元素等，确诊后做相应的治疗。饮食要规律，营养要全面，避免挑食。注意锻炼，增强体质。
天天头晕没精神浑身没劲怎么办啊看看是怎么引起的吃点什么药以后怎么预防,"头晕的原因很多,休息不好,精神紧张,也容易引起头晕.还有其他如:颅脑疾病,心血管疾病,美尼尔氏综合症（5官科--耳）等,都能引发头晕.你的情况建议注意休息,必要时到医院做一次全面检查"
天天头晕没精神浑身没劲怎么办啊看看是怎么引起的吃点什么药以后怎么预防,指导意见：可能是吸进体内的氧气不足，导致大脑供氧不足从而头晕，这也是很正常的，建议去医院验一下血，首先看看有没有贫血，然后看看血糖怎样，是不是低血糖引起的低血压。然后结合诊断积极治疗。
脊椎骨弯曲能治好吗?曾经治疗情况和效果：做过检查，情况不太好找个治疗的方法,您好，脊柱弯曲要看弯曲程度以及什么原因引起的，这个疾病可以有小儿麻痹症引起，下肢不等长、平时姿势不端正等可以引起治疗此病轻度可以考虑支具纠正，稍严重的可以考虑手术矫正
脊椎骨弯曲能治好吗?曾经治疗情况和效果：做过检查，情况不太好找个治疗的方法,你好对于这样的脊柱弯曲的情况考虑可能是营养不良发育不完善的结果可能是骨骼发育扭曲的表现或者是神经调节的问题引起的建议找医生进行细致的检查找出原因确定治疗方案在医生的指导下会治愈祝您早日恢复降
眼睛老流泪，痛，困眼睛睡觉时流泪，还特别痛，整天都很困，眼角发肿，怎么回事？,是肝胆热大和眼睛特过疲劳所致的，中医认为：肝开窍于目，泪从目出。泪有濡润眼睛，保护眼睛的作用，在正常的情况下，泪液的分泌，是濡润而不外溢，在病理情况下，则可见泪液分泌异常。在肝胆热大和用眼过度，就会出现眼睛流泪，药物可以吃龙胆泻肝丸。
太久没运动了，昨天跑步跑的太快今天大腿很？太久没运动了，昨天跑步跑的太快今天大腿很痛怎么回事？。,你好，这是正常的生理现象，不要担心。很久没有运动，现在运动后产生大量乳酸，出现大腿酸痛的表现。不用担心也不用看医生，注意休息，几天后就会好。
请问，运动后血压降低是啥原因？,指导意见：这个与出汗多。运动血管扩张，心率加快，心输出量减少等因素有关系
二尖瓣和三尖瓣返流是什么症状二尖瓣和三尖瓣返流是什么症状,三尖瓣返流轻度是没事的，严重需要手术治疗的，祝你健康欢迎再来咨询，
是处女，不过是危险期，会不会怀孕？几率有多大？,"如果同房未做好避孕,男性的分泌物流入女性阴道,就会有怀孕的可能.祝你健康"
是处女，不过是危险期，会不会怀孕？几率有多大？,你好，怀孕时需要精子和卵子结合的，没有射精或者没有射进阴道都是不会怀孕的，祝你健康。
是处女，不过是危险期，会不会怀孕？几率有多大？,你好，看了你的描述，你这个情况怀孕的几率还是比较小的，不要担心
是处女，不过是危险期，会不会怀孕？几率有多大？,你好，你说的情况怀孕的可能性不大，建议你观察一下你的月经情况。
病情描述发病时间、主要症状、症状变化等）：请问长春西汀能冶疗左耳耳鸣和眩晕我现在出现头晕和耳鸣,长春西汀有增加脑血流量，此外还能抑制血小板凝集，降低人体血液粘度，增强红细胞变形力，改善血液流动性和微循环，促进脑组织摄取葡萄糖，增加脑耗氧量，改善脑代谢一般对于耳鸣和眩晕如没有脑出血等禁忌症的情况下可以使用长春西汀改善脑供血
做爱几天就可以做hcg检查,性生活后十天去医院可进行血HCG的检测，可初步明确是否怀孕。
"每次都是这样,一张开嘴巴,左边嘴巴就会有咯噔咯噔的声响,好像是脆骨断了,又好像是骨头错位了。冬天会，夏天不会。曾经治疗情况和效果：没有想知道原因，谢谢",你好这位朋友不要着急，你的情况考虑是身体缺乏钙质，牙齿的韧性不够的现象，冬季的天气比较寒冷，这种现象可能或加重所以你的情况不要担心，可以适当补充钙质，那么就可以改善你的情况了，另外平时应该多晒晒太阳，多吃一些海产品
怀孕三十周，宫高26，腹围84，宝宝双径顶7.7，股骨长5.5，请问宝宝大概有多少斤？,你这个数值的话是属于正常范围之内的，也是符合你的孕周的建议你定期复查超声检查，必要时胎监检查，至于胎儿体重的话，目前估测的话是没有什么很大的意义的，一般是要快生的时候才会估测的
我吃了两个疗程药后大便已经成型了、想复查一下、请问做什么检查呢？,你好，根据你所描述的分析，不知道你问的是那种病症，问题描述的不是很清楚，无法做出解答。建议问题描述清楚，以方便我们做出正确解答，希望可以帮到你，祝你身体健康。
19岁有5年的sy史最近半年戒了体。每天？19岁有5年的sy史最近半年戒了体。每天昏昏沉沉，记忆力差，反映迟钝。。无是否需要去医院开药还是自己运动调理,您好，看过您描述的情况，您应该是由于在以前的生活中频繁的手淫，损伤肾脏等器官，造成肾虚，才会每天没精神，记忆力差等建议您在以后的生活中要注意好好的调理身体，可以服用六味地黄丸，晚睡前可以做做仰卧起坐，不要熬夜，更不要再有手淫，祝您健康
