ques_content,ans_content
患者信息：女23岁山东烟台病情描述(发病时间、主要症状等)：高考时由于压力过大，曾患过严重的幻听，吃过西药，由于药对大脑伤害过大没有坚持吃，后来大学期间似乎好了，最近复习**不知不觉又犯了，很是痛苦，我坚持不在乎幻听，但总是被打扰而分神，眼看考试在即，看了网上很多方法五花八门也没个解决的，但求好心人能指个暂时控制的方法或者药（没时间就诊）最好别太伤害大脑，谢谢幻听,1、摩耳廓。双手握空拳，用拇指和食指沿耳廓上下来回按摩，直至耳廓充血发热。2、下拉耳垂。用双手拇指和食指捏住耳垂向下拉，手法由轻到重，每次15到20下。3、推摩耳根。食指放在耳前，拇指放在耳后沿耳根由下向上推摩，每次40至50下。推后感觉耳部发热，面部、头部也会有发热的感觉。4、上拉耳廓。用右手绕过头部拉住左耳廓上沿向上拉20次，再用左手以同样的方法拉右耳廓20次
全部症状：双腮经常通红是怎么回事发病时间及原因：治疗情况：,你好!注意检测孩子的体温情况，是否有发热，可能是与孩子的活动有关
你好医生：我近两年发现自己易怒，急躁。在数钱时老觉得自己输错，总忍不住数第二次。还有就是有时走在路上和骑车是会幻想着万一车向我冲过来的情景，还有就是头发掉得比较厉害，身体比较疲乏。老觉得后脑勺比较重。,"你好，这是精神疾病的表现.疾病不易治愈且容易复发的主要原因是没有去除心理因素,药物只是控制了某些疾病的症状,当遇到社会心理因素的刺激时又可能复发,因此建议你最好采用中药配合心理治疗可以达到很好的治疗效果,中药可以起到调理情绪,醒脑开窍,疏肝涤痰,调理气血,调整机体的脏腑功能及平衡阴阳的作用."
你好医生：我近两年发现自己易怒，急躁。在数钱时老觉得自己输错，总忍不住数第二次。还有就是有时走在路上和骑车是会幻想着万一车向我冲过来的情景，还有就是头发掉得比较厉害，身体比较疲乏。老觉得后脑勺比较重。,你好！这种情况多是由于身体虚弱，和头部供血不足引起的。多注意休息，适当运动锻炼
你好医生：我近两年发现自己易怒，急躁。在数钱时老觉得自己输错，总忍不住数第二次。还有就是有时走在路上和骑车是会幻想着万一车向我冲过来的情景，还有就是头发掉得比较厉害，身体比较疲乏。老觉得后脑勺比较重。,你好，你可能是有点心理压力过大导致的，建议多做点喜欢的事情，不要把自己负担太重。
你好医生：我近两年发现自己易怒，急躁。在数钱时老觉得自己输错，总忍不住数第二次。还有就是有时走在路上和骑车是会幻想着万一车向我冲过来的情景，还有就是头发掉得比较厉害，身体比较疲乏。老觉得后脑勺比较重。,您好，您的情况有气血虚弱，不能营养脑髓的可能，建议您用中药调理一下，平常多到户外锻炼
晚上总是做恶梦还醒不过来，脚和手还有点麻怎么办。,您好！根据您的描述及临床资料分析，考虑是肾虚可能；建议您到医院进一步诊治较好。
晚上总是做恶梦还醒不过来，脚和手还有点麻怎么办。,"你好，做梦是一种正常的生理现象,但如果做太多的梦是影响到睡眠质量的话需要进行调节睡前尽量不要做过激烈的活动,喝牛奶等安神类食物,在中医中多梦属于心脾虚弱,必要时可以尝试人参归脾丸调节,注意平时的调养,保持心情愉快,避免情绪激动;忌烟酒,不喝浓茶,避免过度兴奋,尤其是在晚上的时候."
全部症状：从小孩出生以后，老公都像变了似的，脾气很大，而且记仇，不知道是不是压力太大了，昨晚又吵架了，而且他还动手了，我该怎么办？发病时间及原因：治疗情况：,您好，一般说来，这是属于心理问题，引起的原因可能与日常生活中的环境以及自身性格行为因素有关。要注意保持良好的心态，自我调节抑制。若是症状比较严重，无法通过自我调节得到缓解，建议您亲自去找心理医生咨询一下为宜。
头痛头晕头昏脑内摇晃头痛头晕头昏，脑内摇晃，走路不稳四肢无力，嗜睡没精神，记忆力下将做什么事都不能集中精力，心烦气燥老爱发脾气，本人很痛苦，急急急，跪求,"这种头晕可能和脑供血不足有关,有可能是脑血管的问题建议就诊神经内科，做一下脑血管的磁共振检查,明确是否有血管问题"
