ques_content,ans_content
我患艾滋病有头晕头痛，咽炎痛，拉肚，乏力，发热，吃我患有艾滋病，现有头晕头痛，咽炎痛，拉肚，乏力，发热，吃鱼腥草会有点效果吗？,"指导意见：您好,按你说的情况,这个还是建议去当地疾控中心治疗.鱼腥草不一定有效果的"
总是早上体温正常，一到下午就低烧，是不是染上艾第一次带套做爱后的四天后开始低烧，套是妓女给的。不知道干净不干净，总是早上正常，一到下午就低烧三十七度二，感觉身体发热，持续一个多月了，是不是染上艾滋病了，艾滋病或其他性病是不是这样的发热低烧。望名师指点,你好，依你所诉考虑可以服用慢严舒柠颗粒，甘草片等药物，注意调节心情，勤开窗通风，保持屋内湿度该病的诱因为长期辛辣饮食，熬夜等不良的生活习惯导致的，可以用一些清热解毒的药物，如清热解毒口服液你好，依你所诉考虑可以服用慢严舒柠颗粒，甘草片等药物，注意调节心情，勤开窗通风，保持屋内湿度该病的诱因为长期辛辣饮食，熬夜等不良的生活习惯导致的，可以用一些清热解毒的药物，如清热解毒口服液
感染艾滋病初期的咳嗽是单一的吗,指导意见：艾滋病的临床症状多种多样，一般初期的开始症状像伤风、流感、全身疲劳无力、食欲减退、发热、体重减轻
我想咨询下，我俩月前有高危行为，后来出现？我想咨询下，我俩月前有高危行为，后来出现了和艾滋病一样的症状，六周做检查是阴性，现在老是不是浑身无力头痛，这是不是艾滋病吖？。,检查艾滋病需要连查三次，如果三次都是阴性才能确定没有艾滋病。现在看看有没有感冒，再到医院检查艾滋病，如果阴性，再隔半个月以查一次。
者信息：男24岁广东深圳病情描述(发病时间、主要症状等)：背后长有一粒一粒的红色痘痘，不痛不痒，痘痘长成后挤出黄色的脓状物，过几天痘痘就结巴啦，有时胸前也会长，但都不一定有脓状分泌物想要问问是不是艾滋病曾经治疗情况及是否有过敏、遗传病史：没有过敏的症状,您背后的痘痘不是艾滋病的症状。判断是否感染艾滋病，也不能看症状，必须要采血做HIV抗体检测。如果您没有输入不安全的血液、使用不安全的血液制品、共用针具或无保护的性行为等高危行为，您就不用担心艾滋病的问题。如果您有上述高危行为，就可以在最后一次高危行为过后3个月，到医院性病科或疾控中心性艾科做一次HIV抗体检测，如果检测结果是阴性，您就可以完全排除感染艾滋病的可能了。
病情描述发病时间、主要症状、症状变化等）：我9月20日有高危性行为，前几天出现腹泻口干头疼，不想吃饭，咽喉痛有一个多月，大便4到5次，有点黑，肚子受点冷气就想解大便我这是艾滋病症状吗,你好，艾滋病一般在感染后一个月左右就会初步表现出异常，导致人体免疫机制下降，比如感冒持续低热，头痛、恶心、身体乏力等。一般出现类似症状不要轻视，误认为是病毒感冒。应该尽早去医院做个HIV检查，以便明确治疗。
病情描述发病时间、主要症状、症状变化等）：我9月20日有高危性行为，前几天出现腹泻口干头疼，不想吃饭，咽喉痛有一个多月，大便4到5次，有点黑，肚子受点冷气就想解大便我这是艾滋病症状吗,指导意见：艾滋病即获得性免疫缺陷综合症英文名称是人类因为感染人类免疫缺陷病毒后导致免疫缺陷并发一系列机会性感染及肿瘤严重者可导致死亡的综合征。
偶发性的全身痉挛，有意识，往往是在运动过程中，做过神经内科全面检查，无器质性病变。疑是运动性癔症。,"您好,通过您的描述,可以针灸治疗.注意多休息,避免熬夜,多补充维生素,避免一下辛辣食物,做到心情舒畅."
拿艾滋病宣传兜的人是不是艾滋病人?,指导意见：你好，不一定，艾滋病不是看就能看出来的，虽然艾滋病症状有点像平常生活上一些感冒的症状，但是如果要确诊是不是艾滋病，除了根据病史，高危性交史，输血史等这些以外，最主要的还是要根据艾滋病的检测结果
为男友口交不吞精会感染艾兹吗？,指导意见：会导致感染的。如果对方有性病，你一样的是可能被感染的。
嫖娼一个月后恶心想吐是不是得艾滋病,你好，艾滋病病毒可通过性交传播。艾滋病急性期症状发生在高危后10天左右，一般持续1―2周不治自愈，不会反复出现。如果不是这段时间出现的症状与艾滋病无关，另外也不能仅凭症状就断定是否感染艾滋病。我无法给您确定的概率和百分比，因为那样是不负责任的行为，如果您很担忧，建议您去正规医院做下艾滋病检查。
无解脲支原体及人型支原体生长是什么意思?,你好，如果支原体培养的结果是无解脲支原体、人型支原体，那就说明没有解脲支原体、人型支原体感染。无解脲支原体、人型支原体说明是正常的，所以无须担心。
丹麦那个治愈艾滋病的消息是真的么,指导意见：你好，现在艾滋病还是没有治愈的，你说的这个消息目前也没有被证实，现在还是以预防为主，如果感染了，需要定期检查CD4，根据结果服用抗病毒药物治疗。
我想问问艾滋病初期的发热啊什么的症状是一直持续的还是什么？,您好，如果感染了艾滋病，在三四周可能出现急性感染表现，包括可能有低烧，一般的没有明显不舒服，持续一两周就到了没有真正的潜伏期，不会一直持续存在的；但是，到底有没有感染，从这个看不出来的，只有检查才可能明白，不要纠结什么症状，一点点意思都没有问题，六周后检查如果是阴性，就可以排除了
这是艾滋病的前4期吗？在3月28日跟女朋友发生性关系第二天发现自己发低烧呕吐头晕腹泻这是艾滋病的前期吗？,"大部分病人在艾滋病感染初期,没有任何症状.但有一部分病人在感染数天至3个月后,有如流行性流感冒样或传染性单核细胞增多症样症状：发热,赛战,关节疼,肌肉痛,呕吐,腹泻,喉痛等,全身性淋巴结肿大,伴有不规则的发热,疲乏,夜间出汗,慢性腹泻,厌食,体重减轻,舌尖毛状白斑病,及各种神经症状.一般在艾滋病毒感染后2至8周出皮疹,血中出现艾滋病毒抗体.最长约半年后出现抗体.在急性期后,没有临床症状,为无症状的健康人,但体内有艾滋病毒,又称为艾滋病潜伏期.此后,8年内将有50%的人发展为艾滋病.如"
