ques_content,ans_content
就是很痒，没有啥症状，以前做过包皮手术,您好，痒说明存在炎症引起的，建议注意局部卫生，每日进行清洗，局部可用四环素考的松软膏外敷，或高锰酸钾温水清洗消炎。
雀斑是什么原因出现这种情况的？我最近很郁闷，可能经常熬夜的缘故，以至于我的脸上经常斑点，我以为是雀斑，果然去医院检查，医生说就是雀斑，哎，烦死了，怎么办，丑死了，我该怎么办才好呢？。请问雀斑是怎么形成的,"最近很可能经常熬夜的缘故，以至于脸上经常有斑点，去医院检查，医生说就是雀斑。你好,雀斑的人都有一定的特殊体质，在一定条件下，如果皮肤遭到强光的照射，就会出现皮肤干燥等.雀斑的病损的部位位于表皮，一旦面部长出雀斑，通常很难自动消退。"
隆下巴假体应该如何选择呢？隆下巴假体应该如何选择呢？,指导意见：首先选择下巴假体的形状应为反向橘瓣形，这种形状能使隆起的下巴轮廓清晰，富于线条美。其次下巴假体应该根据脸型、下颌体形、颏部情况来选择。另外假体的高度应按唇位于鼻颏连线以内的美学标准来确定。在假体材料的选择上，一般是选择固体硅胶。固体硅胶是一种很好的隆下巴的材料，其具有优胜的生物学功用，假体植入人体组织后，在其周围组成纤维包膜，术中可雕刻塑形，颜色可分派，有弹性，易清洗，可反复灭菌。
频繁烫发会造成头发脱落吗？,掉头发的原因与营养有关，与精神紧张或突然的精神刺激也有很大关系，可查血微量元素，平时不要经常处于精神紧张状态。可在掉头发的地方经常用生姜擦一擦，可促进头发生长，饮食营养要全面，适当多吃些硬壳类食物，适当吃些黑芝麻！
频繁烫发会造成头发脱落吗？,尽可能减少染发、烫发的频率，在平常生活中尽量做到有规律、有节奏，保持一份健康、愉快、轻松的心态。在饮食上，可多喝水，多吃瘦肉、鸡蛋、菠菜、包心菜、芹菜、水果等含有丰富铁质的食品，因为这些都是预防脱发的最佳食物。
请问跑步机可以减肥吗?,"指导意见：你好，根据你的叙述是跑步机可以减肥的朋友,愿我回答对你有帮助,祝健康."
我舌头有齿痕，大便不成形，拉不净的感觉，黑色，月经前十几天乳房开始涨痛，小腹坠胀，脸色黄，长雀斑，手脚冰凉，月经少，最多两天，颜色深，眼睛干涩，已经有三年多了，曾经治疗情况和效果：在湖北中医药看过，每年也做妇检，吃过很多中药，中成药，一只没有好。我想知道我到底仔细仔细是什么毛病，是不是脾虚湿热，或者是其他什么怪毛病。是不是气虚血虚。谢谢专家给我仔细看下，可以吃什么中成药，或者是中药。,你好，舌头上有牙齿印是脾气虚的表现若有神疲则有湿困，这时舌苔偏厚：白厚为湿或寒湿困浊、黄厚则已化热，建议：1。无病症无需治疗，注意饮食有节和适当运动，会好的；2。症状明显（要看中医）可健脾益胃兼祛湿之法：可用平胃散和参苓白术散加减。3。可到药店买谷芽30g、麦芽30g煲瘦肉汤喝，便宜有好喝
我舌头有齿痕，大便不成形，拉不净的感觉，黑色，月经前十几天乳房开始涨痛，小腹坠胀，脸色黄，长雀斑，手脚冰凉，月经少，最多两天，颜色深，眼睛干涩，已经有三年多了，曾经治疗情况和效果：在湖北中医药看过，每年也做妇检，吃过很多中药，中成药，一只没有好。我想知道我到底仔细仔细是什么毛病，是不是脾虚湿热，或者是其他什么怪毛病。是不是气虚血虚。谢谢专家给我仔细看下，可以吃什么中成药，或者是中药。,你好！舌头齿痕明显是脾虚引起的。空腹时尽量少吃凉性的食物。饭后可以吃。因为空腹时吃凉性的食物很容易伤脾胃，而且脾胃相表里的关系。建议可以用人参健脾丸。一天2次早晚各一丸温水服用。饮食方面应该注意少食生冷凉的食物。先治疗脾虚。脾虚纠正了湿气自除。祝早日康复！
两年前少数阴毛由黑到黄最后变白,你好！阴毛变白一方面考虑可能是内分泌失调紊乱，早衰造成的另一方面考虑可能是营养、精神因素，全身疾病及一些白化病等，发病机制与皮肤缺少黑色素有关。建议及早到医院就诊，查明病因，对症治疗.
你好，我同意你的说法，可是益母草怎么用呢？是不是煮着吃？还有硒和锰用来吃还是擦？曾经治疗情况和效果：擦祛斑霜没有效果。,你好，很高兴为你解答，根据你所描述的情况，一般女性到绝经期长斑是由于体内雌激素水平底下所致。建议可以服用维生素E胶囊?确?予以保养卵巢，益母草如果是新鲜的可以外涂，干的泡茶。
生过小孩之后就有了，经常熬夜，用了好多产品都没效果,可以二氧化碳激光或液氮冷冻治疗雀斑，也有较好疗效，但仅限于比较表浅的雀斑。日常生活:应注意避光，防止日光直射面部，外出时应戴个遮阳帽或打旱伞，也可在暴露部位外涂防晒膏.用半只番茄绞碎至糊状，再加两滴甘油，放入冰箱，每天敷脸上一次，坚持一段时间雀斑自然隐退
生过小孩之后就有了，经常熬夜，用了好多产品都没效果,每天用白糖加一点点水来洗脸三次，一个星期就能摸得到光滑白嫩，而且对暗疮印非常有效，有兴趣可以试试，最主要是持之以恒，而且是最廉价的化妆品了！使用方法：用洗面奶洗完脸后，再用一点白沙糖（在医学上来说，糖对伤口的愈合很有好处的）放在手掌上，加一点点水揉揉（防止太过刺激过敏），然后放在脸上揉洗，一分钟左右，就用清水洗干净。
生过小孩之后就有了，经常熬夜，用了好多产品都没效果,娠性“胎斑”，也叫黄褐斑、蝴蝶斑或色素沉着。这是因为怀孕所引起的。中医中药治疗本病疗效显著，多是通过补脾肾和活血化瘀的方法的。
生过小孩之后就有了，经常熬夜，用了好多产品都没效果,你的这个情况应该属于自身的内分泌系统紊乱，平时不仅要把外表的做好防护措施，主要的是内调很关键的，可以试一下中药调理
洛阳垫下巴硅胶一般需要多少钱？？？？？？？？？？洛阳垫下巴硅胶一般需要多少钱洛阳垫下巴硅胶一般需要多少钱,指导意见：孔大夫指出硅胶垫下巴的费用是和多方面的因素有关系的所以并不是一个确切的数字而且现在植入材料是多种的每种材料的价格也是有很大的差别的而且不同的医院的收费也有一定的差别虽然价格是不定的但是我们也不要担心价格不会很贵
做自体脂肪填充脸部和垫下巴会有后遗症吗？,指导意见：你好！自体脂肪垫下巴可能后遗症：移植后的脂肪会因自体吸收而有需要做第二或第三次手术以保持效果。自体脂肪垫下巴的伤口约0.5cm，愈合后几乎完全不留痕迹。关键是要到正规的整形医院做，这是效果和安全的保证。
做自体脂肪填充脸部和垫下巴会有后遗症吗？,指导意见：这种情况体自体脂肪填充脸部和垫下巴一般成活率低，后遗症可能会引起局部硬结，所以要少量多次多层注射，而且是脸部各层次注射，这样会增加脂肪.
做自体脂肪填充脸部和垫下巴会有后遗症吗？,"指导意见：自体脂肪填充,这个不会对注入的自身脂肪组织产生免疫、排异反应。不过您最好还是去正规美容机构治疗，避免手术失败影响美观。"
做自体脂肪填充脸部和垫下巴会有后遗症吗？,你好！自体脂肪垫下巴可能后遗症：移植后的脂肪会因自体吸收而有需要做第二或第三次手术以保持效果。自体脂肪垫下巴的伤口约0.5cm，愈合后几乎完全不留痕迹。关键是要到正规的整形医院做，这是效果和安全的保证。
做自体脂肪填充脸部和垫下巴会有后遗症吗？,指导意见：自体脂肪垫下巴可能后遗症：移植后的脂肪会因自体吸收而有需要做第二或第三次手术以保持效果。自体脂肪垫下巴的伤口约0.5cm，愈合后几乎完全不留痕迹。关键是要到正规的整形医院做，这是效果和安全的保证。
做自体脂肪填充脸部和垫下巴会有后遗症吗？,指导意见：没有影响的，这情况不要担心，可进行手术整形的，就近到三甲医院进行手术效果理想，术后饮食忌辛辣，多吃绿色蔬菜，如胡萝卜、绿色青菜等比较，，
做自体脂肪填充脸部和垫下巴会有后遗症吗？,指导意见：你好!自体脂肪垫下巴可能后遗症:移植后的脂肪会因自体吸收而有需要做第二或第三次手术以保持效果。
做自体脂肪填充脸部和垫下巴会有后遗症吗？,指导意见：自体脂肪垫下巴可能后遗症：移植后的脂肪会因自体吸收而有需要做第二或第三次手术以保持效果。自体脂肪垫下巴的伤口约0.5cm，愈合后几乎完全不留痕迹。关键是要到正规的整形医院做，这是效果和安全的保证
做自体脂肪填充脸部和垫下巴会有后遗症吗？,指导意见：你好！自体脂肪垫下巴可能后遗症：移植后的脂肪会因自体吸收而有需要做第二或第三次手术以保持效果。
