ques_content,ans_content
六味地黄丸、前列康胶囊、阿莫西林胶囊，这三种药可以一起服用吗？,可以的。没有问题的，最好是遵医嘱在医生的指导下治疗。
眼眶皮肤不适你好！昨晚半夜突然觉得两只眼睛周围眼眶部分有一种搽了风油精的感觉，现在仍未消退，不只是何原因？,"指导意见：您的情况多是眼疲劳导致的,按时合理使用一些眼霜以帮助增加眼部肌肤的弹性及结实度,保持眼周皮肤水份平衡。多摄?i取鱼类,胡萝卜、番茄、马铃薯、动物肝脏、豆类等富含维a和维b2等有益于眼睛保护的食物"
拿了叶酸片我没有问怎么吃可以吃叶酸片吗,您好，叶酸片一般在怀孕前三个月开始服用一直到怀孕后三个月。建议您准备要孩子了就每天按时服用，尽量注意饮食，注意心情变化，注意身体健康。
全部症状：发病时间及原因：每天8点左右及疼得受不了治疗情况：羊角颗粒和布洛芬,你好！神经性头痛。这种情况主要还是从生活上调理。早睡早起，不要熬夜。放松心情
全部症状：发病时间及原因：每天8点左右及疼得受不了治疗情况：羊角颗粒和布洛芬,神经性头痛关键是防止精神紧张保证休息时间和质量，戒烟酒。防止受凉感冒等诱因。建议你看看当地神经内科医生，在他们指导下服用：血俯逐瘀口服液。加上西比灵尼莫地平丹参片苯妥因钠羊角冲剂一般都会见效。
全部症状：发病时间及原因：每天8点左右及疼得受不了治疗情况：羊角颗粒和布洛芬,头痛是临床上常见的症状之一，原因繁多，其中有些是严重的致命疾患，但病因诊断常引起困难。轻度头痛一般不用休息可服用止痛药如去痛片等如有剧烈头痛必须卧床休息。环境要安静室内光线要柔和3.可按头痛的部位给予针灸按摩治疗前额痛可取印堂合谷阳白穴两侧痛可取百会后顶痛可取风池外关等穴位，如果上述的方法没什么效果，建议到医院检查治疗比较好
我是一个刚怀孕的人，每天早上喝一杯优乐美，其它时间喝柠檬，会影响胎儿吗？,你好。这是不利于胎儿的发育的，建议要增加全面的营养，多吃粗粮，有利于胎儿的发育的。
全部症状：大阴唇瘙痒而且在表面每天长白色的分泌物，每次把这种分泌物清洗干净以后，大阴唇特别的瘙痒发病时间及原因：2年的时间治疗情况：就是每天擦拭一些皮康霜之类的外用药膏。,"你好，外阴瘙痒是妇科患者常见的症状,多由外阴各种不同病变所引起,但也可发生于外阴完全正常者.霉菌性阴道炎和滴虫性阴道炎是引起外阴瘙痒最常见的原因.虱子,疥疮也可导致发痒.蛲虫病引起的幼女肛门周围及外阴瘙痒一般仅在夜间发作.慢性外阴营养不良以奇痒为主要症状,伴有外阴皮肤发白.局部过敏避孕套,卫生棉条,卫生巾或其他药物,化学品过敏所致.不良卫生习惯不注意外阴局部清洁,皮脂,汗液,月经,阴道内分泌物,甚至尿,粪浸渍,长期刺激外阴可引起瘙痒.建议最好您及时到医院详细检查,明确原因,对症治疗。不要盲目用药。平"
全部症状：大阴唇瘙痒而且在表面每天长白色的分泌物，每次把这种分泌物清洗干净以后，大阴唇特别的瘙痒发病时间及原因：2年的时间治疗情况：就是每天擦拭一些皮康霜之类的外用药膏。,"指导意见：你好，外阴瘙痒是多种原因引起的一种症状,多由于滴虫或真菌感染引起的阴道炎所排出的大量异常的白带刺激外阴部引起;建议到正规医院妇科进行阴道或宫颈分泌物的病原学检查,明确诊断后对症治疗"
神经性头疼治头脑疼痛：冰片一钱，纸卷作拈，烧烟熏鼻，吐出痰诞即愈。(《寿域神方》)这个方法管用吗,"你好,首先要确定病因，如果找不清可以先服用治疗头疼药物进行止疼，比如：博纳痛、头疼片之类增强体育锻炼,可以调节头部血管的舒张收缩功能.保证充足睡眠,保持良好心态,每晚睡前用热水泡脚15分钟左右，对头痛有很好的预防效果."
急，问一下，宝宝吃那个口服疫苗后，没过半小时就吃奶，有什么影响吗,您好，没有影响的，不要担心，祝宝宝健康！
"我怀孕37周，胎儿双顶泾82mm,胎心147/分，股骨长67m曾经治疗情况和效果：两星期前吃钙片想问我宝宝大概有多重",您好，根据您所描述的数据显示，估算您的宝宝体重大概有2000克左右，但是您宝宝的双顶径偏小！您好，建议您定期孕检，及时排除胎儿畸形的可能！
